customer_id,age,marital_status,education_level,department,employment_type,job_level,years_of_experience,years_at_company,city_tier,number_of_dependents,monthly_income_inr,household_monthly_income_inr,housing_status,rent_or_emi_inr,food_expense_inr,utilities_expense_inr,transport_expense_inr,healthcare_expense_inr,education_expense_inr,discretionary_expense_inr,total_monthly_expenses_inr,monthly_savings_inr,savings_rate_pct,loan_count,monthly_debt_payment_inr,total_debt_inr,debt_to_income_ratio_pct,credit_card_utilization_pct,credit_score,missed_payment_count_12m,late_bill_payment_count_12m,unexpected_expense_inr_12m,liquid_assets_inr,emergency_fund_months,investment_amount_inr,retirement_contribution_pct,insurance_coverage,financial_product_count,budgeting_frequency,expense_tracking_frequency,financial_literacy_score,financial_goal_clarity_score,financial_planning_horizon_months,impulse_spending_score,risk_tolerance_level,digital_finance_usage_score,payment_behavior_score,income_stability_score,job_security_perception_score,recent_income_shock,family_financial_support,financial_advisor_access,sleep_disruption_days_per_month,productivity_impact_score,finance_related_absence_days_12m,financial_wellness_program_participation,preferred_financial_support_channel,target_financial_wellbeing_category,monthly_surplus_inr,surplus_rate_pct,age_band,income_band,debt_band,emergency_fund_band
EMP-06501,48,Married,Master,Human Resources,Permanent,Senior,20,11,Tier 1,2,108279.42,127885.54,Owned,16406.03,13550.87,5351.28,7234.01,3428.35,6863.63,16068.99,84426.38,45779.39,35.8,2,15523.22,932894.36,12.14,19.94,755,0,1,2996.39,235041.9,3.44,785269.15,12.33,Basic,6,Weekly,Rarely,5,4,28,6,Moderate,3,8,7,6,No,Available,No,1,1,1,No,One-to-One Counseling,Financially At-Risk,43459.15999999999,33.98,40-49,High,High,3-6 months
EMP-02945,36,Single,Diploma,Customer Support,Contract,Mid-Level,14,6,Tier 2,2,60403.8,63492.95,Rented,15686.51,9134.51,3135.53,2969.97,5235.51,2049.73,8595.22,47865.34,16065.89,25.3,0,1058.36,28659.16,1.67,29.02,725,0,0,17588.15,56054.78,1.43,171710.0,4.12,Basic,3,Monthly,Daily,7,8,26,4,Low,7,9,7,7,No,Available,No,0,1,0,No,One-to-One Counseling,Moderately Stable,15627.61,24.61,30-39,Low,Low,1-3 months
EMP-02025,25,Married,Bachelor,Information Technology,Permanent,Entry,0,0,Tier 3,0,62163.19,116741.45,Rented,3421.5,2701.65,1985.47,3989.05,3752.03,0.0,8947.93,31253.29,84076.93,72.02,2,6455.66,510200.15,5.53,12.98,739,0,0,23513.76,225612.78,10.11,1370369.17,6.2,None listed,4,Monthly,Monthly,3,4,20,3,Low,9,8,8,7,No,Unavailable,No,0,2,0,No,Group Workshop,Moderately Stable,85488.16,73.23,21-29,High,High,More than 6 months
EMP-00264,32,Single,Higher Secondary,Sales,Permanent,Mid-Level,14,14,Tier 3,0,70243.77,77615.72,Rented,8705.39,3665.65,3108.78,1487.12,2813.92,0.0,3749.8,23530.66,57737.62,74.39,0,0.0,0.0,0.0,0.0,814,0,1,26687.51,423570.24,21.41,1276018.24,11.86,None listed,4,Monthly,Daily,4,5,20,5,High,9,10,9,9,No,Unavailable,No,0,1,0,No,Group Workshop,Moderately Stable,54085.06,69.68,30-39,Low,Low,More than 6 months
EMP-04351,35,Single,Bachelor,Customer Support,Contract,Mid-Level,13,11,Tier 1,0,58128.11,70278.65,Rented,11520.0,6743.6,1848.09,4435.21,3025.36,0.0,6839.19,51476.75,14653.41,20.85,3,17065.3,1128647.16,24.28,58.34,695,1,1,10729.71,86029.56,1.93,251648.05,5.75,Comprehensive,6,Occasionally,Monthly,5,6,19,5,Moderate,6,7,5,4,No,Unavailable,No,3,2,0,No,Self-Help Resources,Financially At-Risk,18801.899999999994,26.75,30-39,Low,High,1-3 months
EMP-03425,60,Single,Diploma,Finance,Permanent,Leadership,37,20,Tier 2,0,139029.65,149426.55,Owned,10125.71,6932.63,900.0,7975.01,4777.4,0.0,12254.48,46188.09,105388.47,70.53,0,3222.86,229369.66,2.16,0.0,867,0,0,18604.74,972861.48,24.0,1042886.87,8.65,Basic,4,Monthly,Monthly,5,2,14,6,Moderate,4,10,10,7,No,Limited,No,0,3,1,No,Digital Learning,Financially Secure,103238.45999999999,69.09,50-60,High,Medium,More than 6 months
EMP-06749,37,Divorced,Diploma,Customer Support,Permanent,Mid-Level,15,8,Tier 3,1,76678.76,87864.74,Owned,6410.29,4803.17,3191.71,2781.36,3334.63,2787.52,11278.66,37953.41,45424.01,51.7,0,3366.07,250221.94,3.83,12.17,686,0,1,12557.36,309326.79,11.6,310496.99,7.34,Comprehensive,4,Monthly,Monthly,1,1,17,6,Low,9,9,8,10,No,Unavailable,No,1,3,3,No,One-to-One Counseling,Moderately Stable,49911.33,56.8,30-39,Medium,Medium,More than 6 months
EMP-06216,34,Single,Higher Secondary,Sales,Contract,Mid-Level,9,2,Tier 2,0,58512.38,63819.48,Owned,11853.97,7532.42,2149.9,5123.71,4668.55,0.0,8483.14,39811.69,22386.72,35.08,1,0.0,25478.51,0.0,16.78,761,0,0,24928.26,174212.36,5.56,99770.14,3.96,Basic,4,Monthly,Rarely,5,4,22,8,Low,5,10,5,4,No,Unavailable,Yes,0,3,0,No,One-to-One Counseling,Financially At-Risk,24007.79,37.62,30-39,Low,Low,3-6 months
EMP-06363,35,Single,Higher Secondary,Operations,Permanent,Mid-Level,10,3,Tier 2,0,70425.45,87753.02,Rented,10216.62,3312.67,2832.17,4437.72,2308.79,0.0,12681.38,46162.18,44628.63,50.86,2,10372.83,464762.24,11.82,47.85,685,0,0,15748.53,253424.19,7.57,135980.38,8.69,Basic,5,Occasionally,Monthly,4,4,18,8,Low,4,9,7,6,No,Available,No,0,2,0,Yes,Digital Learning,Financially At-Risk,41590.840000000004,47.4,30-39,Medium,High,More than 6 months
EMP-05590,28,Married,Bachelor,Customer Support,Permanent,Mid-Level,10,3,Tier 2,2,66459.44,94863.37,Owned,5121.77,9228.33,5665.19,3731.45,3569.23,5097.0,4488.72,44104.97,56109.72,59.15,0,7203.28,304303.41,7.59,50.01,666,0,1,18965.99,560296.66,14.14,665124.55,8.02,Basic,6,Never,Monthly,5,6,9,6,High,6,8,7,7,No,Limited,No,0,1,0,Yes,Digital Learning,Moderately Stable,50758.399999999994,53.51,21-29,Medium,Medium,More than 6 months
EMP-00133,43,Married,Bachelor,Sales,Permanent,Senior,17,13,Tier 1,0,107142.49,128104.61,Rented,10565.89,10746.76,2634.54,4654.93,5024.94,0.0,10287.81,44684.36,85946.99,67.09,1,769.49,161734.92,0.6,0.0,750,0,0,12581.95,318325.48,9.25,730643.23,12.63,Basic,5,Weekly,Weekly,6,8,35,5,Low,5,10,7,8,No,Available,No,0,2,0,Yes,Group Workshop,Financially Secure,83420.25,65.12,40-49,High,Medium,More than 6 months
EMP-06407,33,Single,Diploma,Sales,Permanent,Mid-Level,9,2,Tier 1,0,62718.0,64862.91,Rented,18460.43,9598.43,2410.89,5072.87,2445.35,0.0,4437.27,43860.87,23723.79,36.58,0,1435.63,74912.26,2.21,0.26,817,0,1,11178.02,285701.94,7.25,210983.07,7.03,Basic,6,Occasionally,Weekly,5,4,8,6,Low,3,10,7,7,No,Limited,No,0,1,1,Yes,One-to-One Counseling,Moderately Stable,21002.04,32.38,30-39,Low,Low,More than 6 months
